name,fips,gfips,pop,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85,Age90,Age95
Rifle city,64255,10864255,10437,858,824,859,813,742,772,754,843,692,580,585,546,515,381,246,171,111,63,59,23
Rocky Ford city,65190,10865190,3876,195,265,264,268,176,215,242,236,212,204,204,282,264,278,198,142,117,68,38,8
Salida city,67280,10867280,5666,240,252,284,251,183,282,367,388,378,362,371,420,457,481,392,210,157,115,49,27
Severance town,69150,10869150,7683,674,695,723,459,348,562,740,722,608,454,379,351,353,266,188,98,38,18,6,1
Sheridan city,69645,10869645,6105,307,322,425,420,417,550,518,504,377,330,299,398,391,308,221,128,100,62,20,8
Silt town,70195,10870195,3536,255,319,317,300,193,243,248,311,283,241,190,180,171,121,81,53,25,4,1,0
Silverthorne town,70525,10870525,4402,246,271,265,234,191,340,336,350,295,348,279,292,321,295,194,94,40,7,4,0
Snowmass Village town,71755,10871755,3096,102,148,198,147,149,255,225,253,205,243,211,201,209,221,157,105,42,13,12,0
Steamboat Springs city,73825,10873825,13224,536,620,824,774,772,1032,1051,975,973,938,902,857,902,840,627,290,145,99,47,20
Sterling city,73935,10873935,13735,703,648,672,881,1025,1242,1140,1158,856,784,715,836,827,788,506,340,274,197,113,30
Superior town,75640,10875640,13094,613,870,1138,1045,830,861,866,929,964,1153,1153,1018,669,429,293,147,76,29,6,5
Telluride town,76795,10876795,2607,101,118,151,125,151,284,267,182,194,201,209,175,161,106,110,47,14,6,2,3
Thornton city,77290,10877290,141867,9044,10207,11077,10435,9139,10523,11438,11309,10407,9577,8528,7877,7035,5862,4404,2527,1361,728,309,80
Timnath town,77510,10877510,6487,489,704,700,483,224,171,399,635,592,542,343,317,292,252,180,96,34,19,10,5
Trinidad city,78610,10878610,8329,393,424,522,496,464,483,503,497,457,432,462,596,662,666,525,292,219,134,82,20
Vail town,80040,10880040,4835,135,119,163,167,304,661,603,378,280,319,308,313,308,273,218,162,86,29,6,3
Walsenburg city,82350,10882350,3049,130,175,193,189,127,157,165,146,185,131,195,267,272,252,178,115,95,53,18,6
Wellington town,83230,10883230,11047,891,962,953,710,518,826,1139,1124,877,701,480,486,461,337,286,176,73,32,6,9
Westminster city,83835,10883835,116317,6315,6599,6852,6676,7677,10445,10545,9147,7579,6950,6718,7138,7125,5863,4558,2662,1696,1065,545,162
Wheat Ridge city,84440,10884440,32398,1694,1555,1421,1245,1444,2529,3052,2689,2125,1771,1773,2137,2289,2074,1542,1069,843,640,377,129
Windsor town,85485,10885485,32716,2114,2477,2553,2262,1484,1721,2223,2425,2241,2231,2069,1951,1946,1712,1397,879,526,310,151,44
Woodland Park city,86090,10886090,7920,281,401,503,463,318,323,395,494,465,475,560,739,729,754,531,258,148,57,19,7
Wray city,86310,10886310,2358,176,176,159,132,147,168,197,152,106,125,122,123,142,113,100,60,72,50,28,10
Yuma city,86750,10886750,3456,230,267,297,233,175,215,259,239,202,187,188,181,203,157,133,122,83,55,24,6
