name,fips,gfips,pop,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85,Age90,Age95
Trinidad city,78610,10878610,8329,393,424,522,496,464,483,503,497,457,432,462,596,662,666,525,292,219,134,82,20
Vail town,80040,10880040,4835,135,119,163,167,304,661,603,378,280,319,308,313,308,273,218,162,86,29,6,3
Victor city,80865,10880865,379,8,16,20,12,13,26,17,18,14,17,44,47,40,42,26,8,8,1,2,0
Vilas town,81030,10881030,98,6,8,15,10,2,2,5,5,7,6,5,4,9,1,2,2,5,2,1,1
Vona town,81690,10881690,95,3,1,4,8,5,7,7,3,5,8,7,7,6,4,8,6,2,2,2,0
Walden town,82130,10882130,606,31,33,37,32,21,22,44,44,32,35,40,35,65,51,33,17,18,9,7,0
Walsenburg city,82350,10882350,3049,130,175,193,189,127,157,165,146,185,131,195,267,272,252,178,115,95,53,18,6
Walsh town,82460,10882460,543,21,34,38,26,28,33,28,29,20,35,28,44,27,33,30,27,28,16,14,4
Ward town,82735,10882735,128,5,0,8,4,2,9,7,15,10,17,6,7,14,14,5,2,3,0,0,0
Wellington town,83230,10883230,11047,891,962,953,710,518,826,1139,1124,877,701,480,486,461,337,286,176,73,32,6,9
Westcliffe town,83450,10883450,435,11,14,12,17,22,30,13,18,21,19,29,37,48,48,44,26,16,4,3,3
Westminster city,83835,10883835,116317,6315,6599,6852,6676,7677,10445,10545,9147,7579,6950,6718,7138,7125,5863,4558,2662,1696,1065,545,162
Wheat Ridge city,84440,10884440,32398,1694,1555,1421,1245,1444,2529,3052,2689,2125,1771,1773,2137,2289,2074,1542,1069,843,640,377,129
Wiggins town,84770,10884770,1401,144,105,121,96,86,141,131,95,78,56,74,59,74,50,35,29,12,9,2,4
Wiley town,85045,10885045,437,20,37,46,25,14,21,22,37,20,28,28,30,41,22,19,15,5,5,2,0
Williamsburg town,85155,10885155,731,32,31,45,39,28,28,39,44,36,43,47,56,62,73,58,37,17,9,4,3
Windsor town,85485,10885485,32716,2114,2477,2553,2262,1484,1721,2223,2425,2241,2231,2069,1951,1946,1712,1397,879,526,310,151,44
Winter Park town,85705,10885705,1033,28,34,31,41,65,130,111,92,63,63,65,67,86,59,56,23,10,4,2,3
Woodland Park city,86090,10886090,7920,281,401,503,463,318,323,395,494,465,475,560,739,729,754,531,258,148,57,19,7
Wray city,86310,10886310,2358,176,176,159,132,147,168,197,152,106,125,122,123,142,113,100,60,72,50,28,10
Yampa town,86475,10886475,399,24,14,34,23,19,20,31,28,31,20,24,23,30,27,22,17,8,3,0,1
Yuma city,86750,10886750,3456,230,267,297,233,175,215,259,239,202,187,188,181,203,157,133,122,83,55,24,6
Akron town,925,10800925,1757,109,112,108,84,78,116,130,148,94,91,84,110,122,95,81,72,54,35,31,3
Alamosa city,1090,10801090,9806,574,687,681,870,1082,771,747,614,538,414,427,486,525,484,348,224,150,111,50,23
Alma town,1530,10801530,296,14,10,16,15,2,24,44,34,27,27,20,14,25,9,5,2,5,3,0,0
Antonito town,2355,10802355,647,26,37,55,37,16,27,30,48,28,39,48,44,62,58,28,23,19,12,6,4
Arriba town,3235,10803235,202,14,12,11,13,9,8,8,14,14,4,12,22,15,20,10,6,4,2,3,1
Arvada city,3455,10803455,124402,6802,7135,7593,6898,5999,8204,9943,9888,8504,7672,7559,8558,7956,6959,5777,3852,2485,1629,762,227
Aspen city,3620,10803620,7004,254,258,311,328,435,527,648,596,435,519,586,506,458,397,329,227,108,56,25,1
Ault town,3950,10803950,1887,134,131,125,128,96,153,162,141,122,114,111,114,116,83,60,42,24,19,8,4
Aurora city,4000,10804000,386261,24598,26009,28091,25958,25806,31196,32169,30105,26622,24498,22319,21524,20158,16679,13062,7954,4915,2875,1301,422
Avon town,4110,10804110,6072,355,295,372,370,354,561,637,579,489,434,406,396,335,225,131,79,29,10,12,3
Basalt town,4935,10804935,3984,213,195,222,184,199,294,322,319,274,289,284,256,311,245,187,106,55,17,10,2
Bayfield town,5265,10805265,2838,220,284,243,167,99,170,221,253,213,169,146,124,134,147,106,63,41,21,13,4
Bennett town,6090,10806090,2862,185,216,253,233,157,236,227,165,175,145,195,195,181,131,82,45,24,7,9,1
Berthoud town,6255,10806255,10332,645,781,755,614,467,620,818,809,709,587,658,734,665,570,408,262,125,72,24,9
Bethune town,6530,10806530,183,17,13,12,14,7,6,7,10,14,12,10,20,9,10,6,7,3,4,2,0
Black Hawk city,7025,10807025,127,2,2,5,7,3,5,9,11,6,14,5,15,20,11,3,2,6,1,0,0
Blanca town,7190,10807190,322,15,24,27,18,20,14,17,16,19,20,19,20,26,24,15,15,3,4,3,3
Blue River town,7410,10807410,877,43,46,50,49,39,84,71,72,73,61,57,64,48,55,40,17,6,1,0,1
Bonanza town,7571,10807571,17,0,0,0,1,0,2,2,2,1,4,0,0,0,0,1,3,1,0,0,0
Boone town,7795,10807795,305,10,18,26,18,9,21,26,19,20,14,18,32,26,18,9,2,9,5,1,4
Boulder city,7850,10807850,108250,3247,3848,4514,12594,19291,10662,7923,5844,5461,5587,5479,4947,4859,4480,3843,2430,1540,957,584,160
Bow Mar town,8070,10808070,853,22,69,80,79,47,10,12,27,37,69,81,57,67,67,53,30,22,14,7,3
Branson town,8345,10808345,57,4,3,7,3,2,3,3,3,2,3,0,6,3,4,3,2,2,0,2,2
Breckenridge town,8400,10808400,5078,188,177,210,209,266,627,620,517,340,373,334,309,313,269,194,104,21,3,1,3
Brighton city,8675,10808675,40083,2638,2920,3382,2911,2774,2947,3096,3073,2738,2484,2343,2249,1910,1607,1219,820,504,306,120,42
Brookside town,9115,10809115,236,6,7,12,14,8,10,10,12,15,10,17,23,26,19,17,14,4,4,6,2
Broomfield city,9280,10809280,74112,3531,4367,5166,4688,4609,6113,5786,5143,5303,5327,4684,4400,4131,3488,3121,1955,1157,722,342,79
Brush city,9555,10809555,5339,337,398,358,351,322,359,312,321,243,290,298,301,314,274,238,180,179,133,108,23
Buena Vista town,10105,10810105,2855,147,163,159,140,91,201,227,228,179,180,134,187,228,184,168,118,57,45,17,2
Fruita city,28745,10828745,13395,787,899,1116,948,569,668,891,968,936,815,705,792,804,796,630,501,329,176,57,8
Fraser town,28305,10828305,1400,47,53,66,43,116,187,153,122,112,105,79,72,94,79,42,9,12,6,1,2
Frederick town,28360,10828360,14513,1086,1114,1214,898,629,810,1206,1286,1110,1075,964,858,744,575,466,244,131,63,30,10
Frisco town,28690,10828690,2913,106,101,105,107,99,268,306,253,225,230,189,228,205,190,161,84,37,12,3,4
Garden City town,29185,10829185,254,8,16,18,14,9,19,34,11,8,14,22,23,14,24,7,5,6,1,0,1
Genoa town,29680,10829680,153,9,7,14,7,4,9,3,6,6,7,15,18,18,12,8,3,2,1,4,0
Georgetown town,29735,10829735,1118,40,51,41,35,41,98,116,87,66,64,98,83,79,75,74,29,20,15,3,3
Gilcrest town,29955,10829955,1029,61,72,78,99,68,68,61,72,67,63,48,76,69,43,38,18,14,7,4,3
Glendale city,30340,10830340,4613,153,88,111,137,618,1154,778,426,261,203,188,162,135,83,62,28,10,11,4,1
Glenwood Springs city,30780,10830780,9963,548,563,664,649,552,715,838,870,717,646,568,615,604,510,416,210,117,92,53,16
Golden city,30835,10830835,20399,695,849,892,2236,2527,1702,1592,1318,1177,1136,1135,1200,1119,964,733,492,335,171,98,28
Granada town,31550,10831550,445,31,39,38,35,20,23,14,27,23,22,31,24,31,31,19,11,10,12,3,1
Granby town,31605,10831605,2079,100,115,140,147,103,143,174,156,148,128,123,133,188,118,93,34,22,6,4,4
Grand Junction city,31660,10831660,65560,3192,3462,3641,4806,5559,4350,4275,4242,3569,3307,3339,3863,4362,4302,3404,2353,1674,1080,575,205
Grand Lake town,31715,10831715,410,11,11,6,18,14,28,27,21,17,19,32,52,43,45,42,16,2,3,1,2
Greeley city,32155,10832155,108795,7457,7587,7590,9256,10495,8699,8067,7163,6191,5652,5410,5488,5239,4862,3714,2487,1690,1065,539,144
Green Mountain Falls town,32650,10832650,646,23,14,25,41,32,24,32,25,30,54,50,66,71,52,49,26,17,5,9,1
Greenwood Village city,33035,10833035,15691,572,871,1239,1147,839,969,793,863,998,1181,1150,1102,1063,947,835,471,287,208,124,32
Grover town,33310,10833310,157,11,5,9,9,11,16,10,7,12,5,6,10,11,12,6,9,5,1,2,0
Gunnison city,33640,10833640,6560,301,251,277,789,1245,628,518,434,353,304,247,246,279,259,170,114,56,52,22,15
Gypsum town,33695,10833695,8040,552,592,705,632,503,486,698,610,596,647,538,474,404,289,164,95,28,20,6,1
Hartman town,34520,10834520,56,2,2,2,3,4,2,6,4,3,0,7,2,7,4,1,5,1,1,0,0
Haswell town,34740,10834740,71,4,2,5,8,1,2,3,10,0,7,1,4,11,5,2,2,2,2,0,0
Haxtun town,34960,10834960,981,50,62,78,62,39,41,52,60,58,46,50,65,65,72,64,39,34,21,17,6
Hayden town,35070,10835070,1941,132,118,125,108,90,138,183,181,148,107,87,135,136,103,64,35,27,8,11,5
Hillrose town,36610,10836610,312,29,21,24,10,16,20,25,17,26,14,15,26,13,24,13,9,5,3,1,1
Holly town,37215,10837215,837,63,66,60,68,47,45,57,37,33,48,48,50,50,46,46,27,25,12,4,5
Holyoke city,37270,10837270,2346,152,165,173,180,106,146,156,127,126,122,135,137,148,109,108,82,61,58,37,18
Hooper town,37380,10837380,81,4,7,4,8,2,5,2,0,8,7,6,2,16,5,0,4,0,1,0,0
Hotchkiss town,37545,10837545,875,50,53,58,57,26,50,58,44,50,47,62,50,72,68,51,29,30,12,5,3
Hot Sulphur Springs town,37600,10837600,687,21,45,39,36,31,39,34,54,52,55,48,48,80,56,26,10,7,3,0,3
Hudson town,37820,10837820,1651,115,94,120,117,107,154,110,104,99,85,119,116,111,71,72,26,19,10,1,1
Hugo town,37875,10837875,787,47,58,56,39,34,44,58,41,41,33,39,68,44,59,46,32,27,10,7,4
Idaho Springs city,38370,10838370,1782,74,65,79,84,84,108,158,134,125,114,133,134,147,131,106,57,28,7,11,3
